item,airport_code,airport_name,city,state,date,incident_type,location
Firearms,HOU,Hobby Airport,Houston,TX,10/3/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Firearms,IAH,Bush Intercontinental Airport,Houston,TX,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,IAH,Bush Intercontinental Airport,Houston,TX,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,IAH,Bush Intercontinental Airport,Houston,TX,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Stun Guns/Shocking Devices,IAH,Bush Intercontinental Airport,Houston,TX,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,IND,Indianapolis International Airport,Indianapolis,IN,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,JAX,Jacksonville International Airport,Jacksonville,FL,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,JNU,Juneau International Airport,Juneau,AK,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Fireworks,KOA,Kona International Airport,Keahole,HI,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,LAS,Mccarran International Airport,Las Vegas,NV,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,LAS,Mccarran International Airport,Las Vegas,NV,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",LAX,Los Angeles International Airport,Los Angeles,CA,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,SDF,Louisville International Airport,Louisville,KY,10/3/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Martial Arts/Self Defense Items,SDF,Louisville International Airport,Louisville,KY,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,MFR,Medford Rogue Valley International Airport,Medford,OR,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,MIA,Miami International Airport,Miami,FL,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,MSP,Minneapolis/St. Paul International Airport,Minneapolis,MN,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,BNA,Nashville International Airport,Nashville,TN,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,EWN,Craven County Regional Airport,New Bern,NC,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
"Cutting ltems (knives. razors, box cutters, saber, etc )",MSY,New Orleans International Airport,New Orleans,LA,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,EWR,Newark Liberty International Airport,Newark,NJ,10/3/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Bludgeoning,EWR,Newark Liberty International Airport,Newark,NJ,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,EWR,Newark Liberty International Airport,Newark,NJ,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,MCO,Orlando International Airport,Orlando,FL,10/3/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Part of Firearms or Ammunition,MCO,Orlando International Airport,Orlando,FL,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,PSC,Tri-Cities Airport,Pasco,WA,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,PHL,Philadelphia International Airport,Philadelphia,PA,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Mace/Pepper Spray,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,PDX,Portland International Airport,Portland,OR,10/3/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
